customername,monetaryvalue,avgmonetaryvalue,frequency,lastorderdate,maxorderdate,recency,rfm_recency,rfm_frequency,rfm_avgmonetaryvalue,rfm_cell,rfm_cell_string
"Bavarian Collectables Imports, Co.",34993.92,2499.565714,14,15-09-2004,31-05-2005,258,4,1,1,6,411
"Australian Collectables, Ltd",64591.46,2808.324348,23,09-05-2005,31-05-2005,22,1,2,1,5,122
Signal Gift Stores,82751.08,2853.485517,29,29-11-2004,31-05-2005,183,2,3,1,8,233
Rovelli Gifts,137955.72,2874.0775,48,12-11-2004,31-05-2005,200,3,4,1,11,344
Marseille Mini Autos,74936.14,2997.4456,25,06-01-2005,31-05-2005,145,2,2,1,6,222
Gift Ideas Corp.,57294.42,3015.495789,19,04-12-2004,31-05-2005,178,2,1,1,4,211
Boards & Toys Co.,9129.35,3043.116667,3,08-02-2005,31-05-2005,112,2,1,1,4,211
Mini Creations Ltd.,108951.13,3112.889429,35,07-01-2005,31-05-2005,144,2,3,1,8,233
Gifts4AllAges.com,83209.88,3200.38,26,06-05-2005,31-05-2005,25,1,3,1,7,133
Handji Gifts& Co,115498.73,3208.298056,36,23-04-2005,31-05-2005,38,1,4,1,9,144
"Classic Gift Ideas, Inc",67506.97,3214.617619,21,14-10-2004,31-05-2005,229,3,2,1,7,322
"Oulu Toy Supplies, Inc.",104370.38,3261.574375,32,31-01-2005,31-05-2005,120,2,3,1,8,233
Cambridge Collectables Co.,36163.62,3287.601818,11,08-05-2004,31-05-2005,388,4,1,1,6,411
Mini Classics,85555.99,3290.615,26,15-10-2004,31-05-2005,228,3,3,1,9,333
Reims Collectables,135042.94,3293.730244,41,30-03-2005,31-05-2005,62,1,4,1,9,144
Souveniers And Things Co.,151570.98,3295.021304,46,29-05-2005,31-05-2005,2,1,4,1,9,144
Auto-Moto Classics Inc.,26479.26,3309.9075,8,03-12-2004,31-05-2005,179,2,1,1,4,211
Microscale Inc.,33144.93,3314.493,10,03-11-2004,31-05-2005,209,3,1,1,5,311
"Anna's Decorations, Ltd",153996.13,3347.741957,46,09-03-2005,31-05-2005,83,2,4,1,10,244
Signal Collectibles Ltd.,50218.51,3347.900667,15,10-02-2004,31-05-2005,476,4,1,2,6,411
Land of Toys Inc.,164069.44,3348.355918,49,15-11-2004,31-05-2005,197,3,4,2,11,344
La Rochelle Gifts,180124.9,3398.583019,53,31-05-2005,31-05-2005,0,1,4,2,9,144
Collectables For Less Inc.,81577.98,3399.0825,24,20-01-2005,31-05-2005,131,2,2,2,6,222
Enaco Distributors,78411.86,3409.211304,23,24-11-2004,31-05-2005,188,3,2,2,7,322
"Men 'R' US Retailers, Ltd.",48048.46,3432.032857,14,09-01-2004,31-05-2005,508,4,1,2,6,411
Auto Canal Petit,93170.66,3450.765185,27,07-04-2005,31-05-2005,54,1,3,2,7,133
Daedalus Designs Imports,69052.41,3452.6205,20,21-02-2004,31-05-2005,465,4,2,2,8,422
Atelier graphique,24179.96,3454.28,7,25-11-2004,31-05-2005,187,3,1,2,5,311
Mini Auto Werke,52263.9,3484.26,15,10-03-2005,31-05-2005,82,2,1,2,4,211
"Saveley & Henriot, Co.",142874.25,3484.737805,41,02-03-2004,31-05-2005,455,4,4,2,12,444
Toys4GrownUps.com,104561.96,3485.398667,30,12-01-2005,31-05-2005,139,2,3,2,8,233
Collectable Mini Designs Co.,87489.23,3499.5692,25,26-02-2004,31-05-2005,460,4,2,2,8,422
Vitachrome Inc.,88041.26,3521.6504,25,05-11-2004,31-05-2005,207,3,2,2,7,322
Euro Shopping Channel,912294.11,3522.371081,259,31-05-2005,31-05-2005,0,1,4,2,9,144
Alpha Cognac,70488.44,3524.422,20,28-03-2005,31-05-2005,64,1,2,2,5,122
West Coast Collectables Co.,46084.64,3544.972308,13,29-01-2004,31-05-2005,488,4,1,2,6,411
Mini Wheels Co.,74476.18,3546.484762,21,18-11-2004,31-05-2005,194,3,2,2,7,322
Technics Stores Inc.,120783.07,3552.443235,34,05-01-2005,31-05-2005,146,2,3,2,8,233
Auto Assoc. & Cie.,64834.32,3601.906667,18,11-10-2004,31-05-2005,232,4,1,3,6,411
"Clover Collections, Co.",57756.43,3609.776875,16,16-09-2004,31-05-2005,257,4,1,3,6,411
Amica Models & Co.,94117.26,3619.894615,26,09-09-2004,31-05-2005,264,4,3,3,10,433
Mini Gifts Distributors Ltd.,654858.06,3638.100333,180,29-05-2005,31-05-2005,2,1,4,3,9,144
Motor Mint Distributors Inc.,83682.16,3638.354783,23,17-11-2004,31-05-2005,195,3,2,3,7,322
Baane Mini Imports,116599.19,3643.724687,32,05-11-2004,31-05-2005,207,3,3,3,9,333
"Iberia Gift Imports, Corp.",54723.62,3648.241333,15,06-10-2004,31-05-2005,237,4,1,3,6,411
"Australian Collectors, Co.",200995.41,3654.462,55,29-11-2004,31-05-2005,183,2,4,3,10,244
Corporate Gift Ideas Co.,149882.5,3655.670732,41,23-02-2005,31-05-2005,97,2,4,3,10,244
L'ordine Souveniers,142601.33,3656.444359,39,10-05-2005,31-05-2005,21,1,4,3,9,144
"Toys of Finland, Co.",111250.38,3708.346,30,09-02-2005,31-05-2005,111,2,3,3,8,233
Heintze Collectables,100595.55,3725.761111,27,22-10-2004,31-05-2005,221,3,3,3,9,333
Salzburg Collectables,149798.63,3744.96575,40,17-05-2005,31-05-2005,14,1,4,3,9,144
"Corrida Auto Replicas, Ltd",120615.28,3769.2275,32,01-11-2004,31-05-2005,211,3,3,3,9,333
"Vida Sport, Ltd",117713.56,3797.211613,31,30-08-2004,31-05-2005,274,4,3,3,10,433
FunGiftIdeas.com,98923.73,3804.758846,26,03-03-2005,31-05-2005,89,2,3,3,8,233
Online Mini Collectables,57197.96,3813.197333,15,10-09-2004,31-05-2005,263,4,1,3,6,411
Marta's Replicas Co.,103080.38,3817.791852,27,13-10-2004,31-05-2005,230,4,3,3,10,433
CAF Imports,49642.05,3818.619231,13,19-03-2004,31-05-2005,438,4,1,4,6,411
"Toms Spezialitten, Ltd",100306.58,3857.945385,26,16-10-2004,31-05-2005,227,3,2,4,7,322
"Blauer See Auto, Co.",85171.59,3871.435909,22,05-11-2004,31-05-2005,207,3,2,4,7,322
Online Diecast Creations Co.,131685.3,3873.097059,34,04-11-2004,31-05-2005,208,3,3,4,9,333
Classic Legends Inc.,77795.2,3889.76,20,21-11-2004,31-05-2005,191,3,2,4,7,322
Lyon Souveniers,78570.34,3928.517,20,17-03-2005,31-05-2005,75,1,2,4,5,122
Diecast Collectables,70859.78,3936.654444,18,26-04-2004,31-05-2005,400,4,1,4,6,411
Diecast Classics Inc.,122138.14,3939.94,31,30-05-2005,31-05-2005,1,1,3,4,7,133
Tekni Collectables Inc.,83228.19,3963.247143,21,03-04-2005,31-05-2005,58,1,2,4,5,122
"Australian Gift Network, Co",59469.12,3964.608,15,02-02-2005,31-05-2005,118,2,1,4,4,211
The Sharp Gifts Warehouse,160010.27,4000.25675,40,22-04-2005,31-05-2005,39,1,4,4,9,144
"Dragon Souveniers, Ltd.",172989.68,4023.015814,43,02-03-2005,31-05-2005,90,2,4,4,10,244
Danish Wholesale Imports,145041.6,4028.933333,36,15-04-2005,31-05-2005,46,1,4,4,9,144
Gift Depot Inc.,101894.79,4075.7916,25,05-05-2005,31-05-2005,26,1,2,4,5,122
Muscle Machine Inc,197736.94,4119.519583,48,01-12-2004,31-05-2005,181,2,4,4,10,244
"La Corne D'abondance, Co.",97203.68,4226.246957,23,20-11-2004,31-05-2005,192,3,2,4,7,322
Mini Caravy,80438.48,4233.604211,19,14-04-2005,31-05-2005,47,1,2,4,5,122
Super Scale Inc.,79472.07,4674.827647,17,04-05-2004,31-05-2005,392,4,1,4,6,411
